Academic Institution,Advanced Degree,Vet Pref,Status,Class
"UNIVERSITY OF CALIFORNIA, BERKELEY",Policy Analysis,No,-,2017
GEORGETOWN UNIVERSITY,Defense/Terrorism,Yes,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Public Health,No,-,2017
WAKE FOREST GRAD SCHOOLS OF BUSINESS,Business Management/Administration,No,-,2017
UNIV OF LONDON KING'S COLLEGE,Defense/Terrorism,No,Appointed,2016
"UNIVERSITY OF CALIFORNIA, BERKELEY",Ecology,No,-,2017
UNIV ARKANSAS FAYETTEVILLE,Law (JD or other law degree),No,-,2017
CENTRAL MICHIGAN UNIVERSITY,Administration/Management Process,Yes,-,2016
VIRGINIA COMMONWEALTH UNIVERSITY,Biomedical Engineering,No,-,2017
UNIVERSITY OF GEORGIA,Pharmacology,No,-,2017
MAASTRICHT UNIVERSITY,Policy Analysis,No,Appointed,2016
AMERICAN UNIVERSITY,Law (JD or other law degree),No,-,2016
NEW YORK UNIVERSITY,Public Administration,No,Appointed,2016
UNIVERSITY OF NEBRASKA-OMAHA,Public Administration,No,-,2017
YALE UNIVERSITY,International Disciplines,Yes,-,2017
TUI UNIVERSITY,Business Management/Administration,Yes,Appointed,2016
SUNY COLLEGE OF ENVIRONMENT SCIENCE AND,Biology/Biological Sciences,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,Yes,-,2017
EMORY UNIVERSITY,Public Health,No,-,2017
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,Government,Yes,-,2017
AMERICAN UNIVERSITY,Communications,Yes,-,2016
UNIVERSITY OF KANSAS,Law (JD or other law degree),Yes,-,2016
WASHINGTON STATE UNIVERSITY,Biology/Biological Sciences,No,-,2017
MCGILL UNIVERSITY,Political Science,No,-,2016
UNIVERSITY OF HOUSTON,Social Work,No,-,2017
UTAH STATE UNIVERSITY,Political Science,Yes,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Ecology,No,-,2017
GEORGETOWN UNIVERSITY,International Disciplines,Yes,-,2016
AMERICAN UNIVERSITY,Defense/Terrorism,No,-,2016
National Intelligence University,"Area Studies -- ex. Strategic, Judicial",Yes,-,2016
FAYETTEVILLE STATE UNIVERSITY,Business Management/Administration,No,-,2016
AMERICAN UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,-,2017
TUFTS UNIVERSITY,International Disciplines,No,-,2017
CLARK UNIVERSITY,International Disciplines,No,-,2016
UNIVERSITY OF WISCONSIN-MADISON,Biology/Biological Sciences,No,Appointed,2016
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
AMERICAN UNIVERSITY,International Disciplines,No,-,2016
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,Yes,-,2017
NEW YORK UNIVERSITY,Accounting/Finance/Budget,Yes,-,2016
NORTHWESTERN UNIV,Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF NOTRE DAME,Chemistry,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Policy Analysis,No,-,2016
CARNEGIE MELLON UNIV- THE HEINZ COLLEGE,Policy Analysis,No,-,2017
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Public Health,No,-,2017
CATHOLIC UNIVERSITY OF AMERICA,Economics,No,Appointed,2016
UNIVERSITY OF VIRGINIA - SFS,Policy Analysis,No,Appointed,2016
ROGER WILLIAMS UNIVERSITY,Law (JD or other law degree),No,-,2017
GEORGE WASHINGTON UNIVERSITY,Communications,No,-,2017
PEPPERDINE UNIVERSITY,Business Management/Administration,Yes,Appointed,2016
COLLEGE OF WILLIAM & MARY,Policy Analysis,No,Appointed,2016
AMERICAN UNIVERSITY,Defense/Terrorism,No,Appointed,2016
TEXAS A&M UNIVERSITY,International Disciplines,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Public Affairs,No,-,2017
GEORGE WASHINGTON UNIVERSITY,Diplomacy,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
GEORGETOWN UNIVERSITY,Defense/Terrorism,No,Appointed,2016
TEXAS A&M UNIVERSITY,International Disciplines,No,Appointed,2016
CITY COLLEGE-CUNY,Comparative Politics,No,-,2016
GEORGIA INSTITUTE OF TECHNOLOGY,History,No,-,2017
INDIANA UNIVERSITY-BLOOMINGTON,Public Affairs,No,Appointed,2016
GEORGE MASON UNIVERSITY,Business Management/Administration,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,Appointed,2016
OHIO STATE UNIVERSITY-ALL CAMPUSES,Agricultural Science,No,-,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Health,No,-,2017
NEW YORK UNIVERSITY,Pharmacology,No,Appointed,2016
UNIVERSITY OF COLORADO DENVER,Urban/Regional Administration/Management,No,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Environmental Sciences/Natural Resources,No,-,2017
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2016
UNIVERSITY OF CHICAGO GRADUATE,Policy Analysis,No,Appointed,2016
UNIVERSITY OF MIAMI,Meteorology,No,-,2016
GEORGE WASHINGTON UNIVERSITY,Defense/Terrorism,No,-,2016
"RUTGERS, THE STATE UNIVERSITY OF NJ",Urban/Regional Administration/Management,No,-,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
SETON HALL UNIVERSITY,Diplomacy,Yes,-,2016
UNIVERSITY OF TEXAS-AUSTIN,Oceanography,No,-,2016
UNIV OF CENTRAL FLORIDA,Nanotechnology,Yes,-,2017
TUFTS UNIVERSITY,Hydrology,No,-,2017
PARDEE RAND GRADUATE SCHOOL,Policy Analysis,Yes,-,2017
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2016
SAN FRANCISCO STATE UNIVERSITY,Ecology,No,-,2017
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,-,2016
GEORGE MASON UNIVERSITY,Political Science,No,-,2017
AMERICAN UNIVERSITY,International Disciplines,No,-,2017
UNIVERSITY OF UTAH,Law (JD or other law degree),No,Appointed,2016
AMERICAN PUBLIC UNIVERSITY SYSTEM,Defense/Terrorism,No,-,2017
BELLEVUE UNIVERSITY,Public Administration,Yes,Appointed,2016
UNIV OF LONDON-LONDON SCHOOL ECON,Political Science,No,-,2016
UNIVERSITY OF MINNESOTA-TWIN CITIES,Public Affairs,No,-,2017
UNIVERSITY OF GEORGIA,Public Health,No,-,2017
GEORGETOWN UNIVERSITY,Neurosciences,No,Appointed,2016
EMORY UNIVERSITY,Epidemiology,No,Appointed,2016
UNIVERSITY OF WASHINGTON,Law (JD or other law degree),No,Appointed,2016
GEORGE MASON UNIVERSITY,Psychology,Yes,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,Conflict Analysis/Resolution,Yes,-,2017
CHAPMAN UNIVERSITY,Human Resources Development/Policy,Yes,-,2016
UNIVERSITY OF PENNSYLVANIA,Public Health,No,Appointed,2016
UNIVERSITY OF NEBRASKA-LINCOLN,Law (JD or other law degree),No,-,2017
JOHNS HOPKINS UNIV SCH OF NURSING,Public Health,No,-,2017
GEORGE MASON UNIVERSITY,Political Science,Yes,-,2016
AUBURN UNIVERSITY,Languages,Yes,Appointed,2016
UNIVERSITY OF CALIFORNIA-SANTA BARB,Human Rights,No,-,2016
AMERICAN UNIVERSITY,Policy Analysis,No,Appointed,2016
AMERICAN PUBLIC UNIVERSITY SYSTEM,Defense/Terrorism,No,Appointed,2016
GEORGE MASON UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF CHICAGO GRADUATE,International Disciplines,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,International Disciplines,No,-,2017
UNIV OF ILLINOIS @ URBANA-CHAMPAIGN,Library Sciences,No,Appointed,2016
CAMBRIDGE COLLEGE,Human/Labor Relations,Yes,-,2016
HARVARD KENNEDY SCHOOL,Public Administration,Yes,-,2016
GEORGETOWN UNIVERSITY,Defense/Terrorism,Yes,-,2016
AMERICAN UNIVERSITY,History,No,Appointed,2016
FLORIDA INSTITUTE OF TECHNOLOGY,Business Management/Administration,Yes,-,2016
TUFTS UNIVERSITY,Conflict Analysis/Resolution,No,-,2016
UNIV OF ILLINOIS AT CHICAGO,Public Administration,No,Appointed,2016
WRIGHT STATE UNIVERSITY,Geophysics,No,Appointed,2016
UNIVERSITY OF NORTHERN COLORADO,Public Health,No,-,2016
CORNELL UNIVERSITY,Government,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Public Affairs,No,Appointed,2016
COLORADO TECHNICAL UNIVERSITY,Business Management/Administration,Yes,Appointed,2016
UNIVERSITY OF KANSAS,History,No,Appointed,2016
"Schwarzman College, Tsinghua University, Beijing, China",Public Affairs,No,-,2017
EMORY UNIVERSITY,Research Psychology,No,Appointed,2016
TUFTS UNIVERSITY,Diplomacy,No,-,2017
UNIVERSITY OF VIRGINIA - SFS,Policy Analysis,No,-,2017
UNIVERSITY OF CALIFORNIA (UCLA),Political Science,No,-,2016
WESTERN WASHINGTON UNIVERSITY,Geology/Geological Engineering,No,-,2017
DEVRY UNIVERSITY,Business Management/Administration,Yes,-,2017
NORTHEASTERN UNIVERSITY,Law (JD or other law degree),No,-,2017
UNIVERSITY OF PENNSYLVANIA,Education,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
BOSTON COLLEGE,Law (JD or other law degree),No,-,2017
CORNELL UNIVERSITY,Law (JD or other law degree),No,-,2017
UNIVERSITY OF VIRGINIA - SFS,Policy Analysis,No,-,2017
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2017
UNIVERSITY OF WISCONSIN-MADISON,"Area Studies -- ex. Strategic, Judicial",No,-,2017
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
NORTH CAROLINA CENTRAL UNIVERSITY,Public Administration,No,-,2017
UNIVERSITY OF PENNSYLVANIA,Non-Profit Management/Organizations,No,-,2017
STEVENS INSTITUTE OF TECHNOLOGY,Systems Engineering,No,Appointed,2016
HARVARD KENNEDY SCHOOL,Public Administration,Yes,-,2016
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Biology/Biological Sciences,No,-,2016
GEORGETOWN UNIVERSITY,Diplomacy,No,-,2016
AMERICAN UNIVERSITY,Public Administration,No,Appointed,2016
YALE UNIVERSITY,Political Science,No,-,2017
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,Public Administration,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,Energy/Earth Resources,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Affairs,No,-,2017
SYRACUSE UNIVERSITY,Public Administration,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Business Management/Administration,Yes,-,2016
MASSACHUSETTS INST OF TECHNOLOGY,Political Science,No,Appointed,2016
UNIVERSITY OF WASHINGTON,Public Health,No,-,2017
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),No,-,2017
GEORGE WASHINGTON UNIVERSITY,"Area Studies -- ex. Strategic, Judicial",No,-,2017
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),No,-,2016
UNIVERSITY OF CAMBRIDGE,Defense/Terrorism,No,-,2017
EMORY UNIVERSITY,Public Health,No,-,2017
JOHNS HOPKINS UNIV SCH OF MEDICINE,Microbiology,No,-,2016
SUNY AT ALBANY,Public Administration,No,Appointed,2016
YALE UNIVERSITY,Public Health,No,-,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Affairs,No,-,2017
VILLANOVA UNIVERSITY,Public Administration,Yes,-,2017
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,-,2016
UNIVERSITY OF ARIZONA,Geophysics,No,Appointed,2016
CARNEGIE MELLON UNIV- THE HEINZ COLLEGE,Public Administration,No,-,2016
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,Policy Analysis,No,-,2017
LOYOLA UNIVERSITY NEW ORLEANS,Law (JD or other law degree),No,-,2016
UNIV OF LONDON KING'S COLLEGE,Conflict Analysis/Resolution,No,-,2017
CASE WESTERN RESERVE UNIV - LAW,Law (JD or other law degree),No,-,2017
UNIVERSITY OF DELAWARE,Health Administration,No,-,2017
UNIV OF LONDON-LONDON SCHOOL ECON,International Disciplines,No,-,2016
WEBSTER UNIVERSITY,Business Management/Administration,No,Appointed,2016
AMERICAN UNIVERSITY,Policy Analysis,No,Appointed,2016
TUI UNIVERSITY,Education,Yes,Appointed,2016
YALE UNIVERSITY,International Disciplines,No,-,2016
CORNELL UNIVERSITY,Public Administration,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Astrophysics,No,-,2016
JOHNS HOPKINS BLOOMBERG SCH OF PH,Public Health,No,Appointed,2016
"UNIVERSITY OF CALIFORNIA, BERKELEY",Chemistry,No,-,2017
UNIVERSITY OF WISCONSIN-MILWAUKEE,Business Management/Administration,No,Appointed,2016
YALE UNIVERSITY,Environmental Sciences/Natural Resources,No,-,2017
HARVARD KENNEDY SCHOOL,Public Administration,Yes,-,2017
VILLANOVA UNIV SCH OF LAW,Law (JD or other law degree),No,Appointed,2016
GEORGE MASON UNIVERSITY,Policy Analysis,No,Appointed,2016
HARVARD UNIV GRAD S OF ARTS & SCIEN,Earth and Planetary Science,No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Administration,No,-,2017
SUNY AT ALBANY,Public Administration,No,Appointed,2016
SUNY AT BUFFALO,Law (JD or other law degree),Yes,-,2016
UNIVERSITY OF N C-CHAPEL HILL,Public Health,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,History,No,-,2017
GEORGETOWN UNIVERSITY,Policy Analysis,No,-,2016
INDIANA UNIVERSITY-BLOOMINGTON,Public Affairs,No,-,2017
NEW YORK INSTITUTE OF TECHNOLOGY,Defense/Terrorism,Yes,-,2016
UNIVERSITY OF ARIZONA,Earth and Planetary Science,No,Appointed,2016
JOHNS HOPKINS BLOOMBERG SCH OF PH,Public Health,No,-,2017
GEORGETOWN UNIVERSITY,Biohazardous Threats/Emerging Diseases,No,-,2016
GEORGETOWN UNIVERSITY,Government,No,Appointed,2016
GEORGETOWN UNIVERSITY,Defense/Terrorism,No,-,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,No,Appointed,2016
UNIVERSITY OF VERMONT,Environmental Sciences/Natural Resources,No,Appointed,2016
UNIVERSITY OF PENNSYLVANIA,Architecture,No,-,2017
EMORY UNIVERSITY,Epidemiology,No,-,2017
INDIANA UNIVERSITY-BLOOMINGTON,Business Management/Administration,No,-,2016
AMERICAN UNIVERSITY,Environmental Policy/Studies,No,-,2016
TUFTS UNIVERSITY,Defense/Terrorism,No,-,2016
HARVARD LAW SCHOOL,Law (JD or other law degree),No,-,2017
UNIV OF MARYLAND UNIVERSITY COLLEGE,Business Management/Administration,Yes,Appointed,2016
UNIVERSITY OF CALIFORNIA-SAN DIEGO,International Disciplines,No,Appointed,2016
GEORGETOWN UNIVERSITY,Public Affairs,No,-,2017
UNIV OF ILLINOIS @ URBANA-CHAMPAIGN,Civil Engineering,No,-,2016
PENNSYLVANIA STATE UNIVERSITY (THE),Public Administration,Yes,Appointed,2016
EMORY UNIVERSITY,Epidemiology,No,-,2017
WASHINGTON STATE UNIVERSITY,Political Science,Yes,Appointed,2016
HARVARD UNIV SCH PUBLIC HEALTH,Epidemiology,No,-,2017
UNIVERSITY OF PENNSYLVANIA,Biomedical Engineering,No,Appointed,2016
UNIVERSITY OF CINCINNATI,Criminal Justice,No,-,2016
DEPAUL UNIVERSITY,Administration/Management Process,No,Appointed,2016
UNIVERSITY OF MONTANA (THE),Ecology,No,Appointed,2016
GEORGIA INSTITUTE OF TECHNOLOGY,Community/Regional Planning/Development,No,-,2017
UNIVERSITY OF PENNSYLVANIA,Biology/Biological Sciences,No,-,2017
UNIV OF LONDON-LONDON SCHOOL ECON,Communications,No,-,2017
DUKE UNIV/NICHOLAS SCH OF ENVIRON.,Environmental Sciences/Natural Resources,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Public Health,No,-,2016
GEORGETOWN UNIVERSITY,Defense/Terrorism,No,-,2016
WASHINGTON UNIVERSITY,Law (JD or other law degree),No,-,2017
JOHNS HOPKINS UNIVERSITY,Environmental Sciences/Natural Resources,No,Appointed,2016
BOSTON UNIVERSITY,Individual/Group/Organizational Theory and Dynamics,Yes,-,2016
UNIVERSITY OF WASHINGTON,Public Administration,No,-,2017
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Environmental Policy/Studies,Yes,-,2016
COLUMBIA COLLEGE,Human Resources Development/Policy,Yes,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,Economics,No,-,2017
AMERICAN UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
JOHNS HOPKINS UNIV SCH OF BUS/ED,Business Management/Administration,Yes,Appointed,2016
UNIVERSITY OF CALIFORNIA-DAVIS,Environmental Sciences/Natural Resources,No,-,2017
UNIV OF ILLINOIS @ URBANA-CHAMPAIGN,Environmental Sciences/Natural Resources,Yes,-,2016
YALE UNIVERSITY,Business Management/Administration,No,-,2017
TUFTS UNIVERSITY,Diplomacy,No,-,2016
UNIVERSITY OF PHOENIX,Business Management/Administration,Yes,-,2016
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,"Area Studies -- ex. Strategic, Judicial",No,-,2017
UNIVERSITY OF IOWA,Law (JD or other law degree),No,-,2017
HARVARD KENNEDY SCHOOL,Public Administration,No,Appointed,2016
SUNY AT ALBANY,Public Health,No,-,2017
PENNSYLVANIA STATE UNIVERSITY (THE),International Disciplines,No,-,2017
UNIV OF LONDON-LONDON SCHOOL ECON,Political Science,No,Appointed,2016
UNIVERSITY OF VIRGINIA,Systems Engineering,Yes,-,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,"Area Studies -- ex. Strategic, Judicial",No,-,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2016
HARVARD KENNEDY SCHOOL,Defense/Terrorism,No,-,2016
UNIVERSITY OF TENNESSEE-KNOXVILLE,Biology/Biological Sciences,No,-,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,No,-,2017
GEORGE MASON UNIVERSITY,Public Administration,No,-,2017
UTAH STATE UNIVERSITY,Ecology,No,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,Yes,Appointed,2016
HARVARD UNIV GRAD SCH ED,Policy Analysis,No,-,2017
"UNIVERSITY OF CALIFORNIA, BERKELEY",Languages,No,-,2017
GEORGIA STATE UNIVERSITY,Public Administration,No,-,2016
UNIVERSITY OF WASHINGTON,Library Sciences,No,-,2017
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Political Science,No,-,2017
GEORGETOWN UNIVERSITY,"Area Studies -- ex. Strategic, Judicial",No,-,2017
UNIV OF MARYLAND UNIVERSITY COLLEGE,Business Management/Administration,Yes,-,2016
UNIVERSITY OF DURHAM,Criminal Justice,No,-,2017
UNIVERSITY OF SOUTHERN CALIFORNIA,Public Administration,Yes,Appointed,2016
UNIVERSITY OF BALTIMORE,Law (JD or other law degree),Yes,-,2017
PENNSYLVANIA STATE UNIVERSITY (THE),Sociology,No,Appointed,2016
UNIV OF ILLINOIS AT CHICAGO,Social Work,No,-,2017
GEORGE WASHINGTON UNIVERSITY,Defense/Terrorism,No,Appointed,2016
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),Yes,Appointed,2016
UNIVERSITY OF PENNSYLVANIA,Philosophy,No,-,2017
SOUTHERN METHODIST UNIVERSITY,Geophysics,No,-,2017
UNIVERSITY OF VIRGINIA - SFS,Law (JD or other law degree),No,-,2017
UNIVERSITY OF TEXAS-ARLINGTON,Business Management/Administration,Yes,Appointed,2016
HARVARD UNIV SCH PUBLIC HEALTH,Biostatistics,No,-,2017
HARVARD KENNEDY SCHOOL,Public Administration,No,-,2017
PEPPERDINE UNIVERSITY,Political Science,Yes,-,2016
FAULKNER UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,"Area Studies -- ex. Strategic, Judicial",No,-,2017
TUFTS UNIVERSITY,Environmental Policy/Studies,Yes,Appointed,2016
AMERICAN UNIVERSITY,Public Administration,No,-,2017
TEXAS A&M UNIVERSITY,International Disciplines,No,Appointed,2016
NEW YORK UNIVERSITY,International Disciplines,No,-,2017
AMERICAN UNIVERSITY,International Disciplines,No,-,2016
JOHNS HOPKINS UNIVERSITY,Economics,No,-,2016
GEORGE MASON UNIVERSITY,Policy Analysis,Yes,Appointed,2016
NORTHWESTERN UNIV,Law (JD or other law degree),Yes,-,2017
GEORGE WASHINGTON UNIVERSITY,Criminal Justice,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,-,2017
EMORY UNIVERSITY,Public Health,No,-,2016
HARVARD KENNEDY SCHOOL,Public Administration,No,-,2017
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Policy Analysis,No,-,2017
NEW YORK UNIVERSITY,International Disciplines,No,-,2017
UNIV OF MARYLAND UNIVERSITY COLLEGE,Cyber Security/Information Security,No,-,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
INSTITUTE OF WORLD POLITICS (THE),International Disciplines,No,Appointed,2016
UNIV OF LONDON-LONDON SCHOOL ECON,Political Science,No,Appointed,2016
"Justus Liebig University- Giessen, Hessen, Germany",Economics,Yes,-,2017
HARVARD KENNEDY SCHOOL,Policy Analysis,No,-,2017
FLORIDA INTERNATIONAL UNIVERSITY,Law (JD or other law degree),No,-,2017
ELIZABETHTOWN COLLEGE,Business Management/Administration,Yes,-,2017
EXCELSIOR COLLEGE,Business Management/Administration,Yes,Appointed,2016
UNIVERSITY OF MISSOURI - COLUMBIA,Ecology,No,-,2017
EMORY UNIVERSITY,Public Health,No,Appointed,2016
UNIVERSITY OF DELAWARE,Chemistry,No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Policy Analysis,Yes,Appointed,2016
MASSACHUSETTS INST OF TECHNOLOGY,Community/Regional Planning/Development,No,-,2017
AMERICAN UNIVERSITY,Administration/Management Process,No,Appointed,2016
UNIVERSITY OF CHICAGO GRADUATE,Music,No,-,2017
GEORGE WASHINGTON UNIVERSITY,Public Health,No,Appointed,2016
UNIV OF MARYLAND UNIVERSITY COLLEGE,Cyber Security/Information Security,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
FULL SAIL UNIVERSITY,Business Management/Administration,Yes,-,2016
"UNIVERSITY OF CALIFORNIA, BERKELEY",Policy Analysis,No,Appointed,2016
FLORIDA A & M UNIVERSITY,Pharmacology,No,Appointed,2016
GEORGETOWN UNIVERSITY,International Disciplines,No,-,2016
