Academic Institution,Advanced Degree,Vet Pref,Status,Class
NATIONAL DEFENSE UNIVERSITY,Cyber Security/Information Security,Yes,-,2016
TUFTS UNIVERSITY,International Disciplines,No,-,2017
UNIVERSITY OF GEORGIA,Public Health,No,-,2017
"RUTGERS, THE STATE UNIVERSITY OF NJ",Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF PITTSBURGH,International Disciplines,No,-,2017
HOFSTRA UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
EMORY UNIVERSITY,Epidemiology,No,Appointed,2016
TUFTS UNIVERSITY,Public Administration,Yes,Appointed,2016
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Cyber Security/Information Security,Yes,-,2016
GEORGETOWN UNIVERSITY,Policy Analysis,No,Appointed,2016
UNIVERSITY OF CHICAGO GRADUATE,Law (JD or other law degree),No,-,2017
TEXAS A&M UNIVERSITY,International Disciplines,No,-,2017
GEORGE WASHINGTON UNIVERSITY,Public Health,No,Appointed,2016
UNIV OF LONDON-LONDON SCHOOL ECON,International Disciplines,No,-,2016
UNIVERSITY OF MINNESOTA-TWIN CITIES,Chemical Engineering,No,-,2017
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
EMORY UNIVERSITY,Chemistry,No,-,2016
UTICA COLLEGE- UTICA,Business Management/Administration,No,-,2016
SYRACUSE UNIVERSITY,Public Administration,Yes,-,2016
UNIVERSITY OF SAN DIEGO,International Disciplines,Yes,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Public Health,No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
NORTH CAROLINA STATE UNIV-RALEIGH,Public Administration,No,-,2016
GEORGETOWN UNIVERSITY,International Disciplines,No,-,2016
SCHOOL OF INTERNATIONAL TRAINING,International Disciplines,No,-,2016
EMORY UNIVERSITY,Public Health,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,History,Yes,Appointed,2016
UNIVERSITY OF HAWAII AT MANOA,Business Management/Administration,Yes,-,2016
NEW YORK UNIVERSITY,Public Administration,No,-,2017
HARVARD KENNEDY SCHOOL,Policy Analysis,Yes,-,2017
UNIVERSITY OF MEMPHIS (THE),Computer Engineering,No,-,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
THE NEW SCHOOL,International Disciplines,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,-,2017
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),No,-,2017
"RUTGERS, THE STATE UNIVERSITY OF NJ",Community/Regional Planning/Development,No,Appointed,2016
GEORGETOWN UNIVERSITY,Defense/Terrorism,No,-,2016
"UNIVERSITY OF MARYLAND, BALTIMORE",Law (JD or other law degree),No,-,2017
UNIVERSITY OF CALIFORNIA-DAVIS,Ecology,No,-,2017
UNIV OF MASSACHUSETTS-BOSTON,Policy Analysis,Yes,-,2016
TUFTS UNIVERSITY,Conflict Analysis/Resolution,No,-,2017
TEXAS A&M UNIVERSITY,International Disciplines,Yes,-,2016
UNIVERSITY OF CALIFORNIA-IRVINE,Physics,No,-,2017
CUNY-HUNTER COLLEGE,Community/Regional Planning/Development,No,-,2016
UNIVERSITY OF CHICAGO GRADUATE,History,No,-,2017
COLORADO STATE UNIVERSITY,Ecology,No,Appointed,2016
GEORGETOWN UNIVERSITY,Business Management/Administration,No,-,2016
STETSON UNIVERSITY - COLLEGE OF LAW,Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF N C-WILMINGTON,Public Administration,No,Appointed,2016
UNIVERSITY OF OREGON,Law (JD or other law degree),No,-,2017
GEORGETOWN UNIVERSITY,Statistics,No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Administration,Yes,-,2016
THE UNIVERSITY OF NEW MEXICO,Law (JD or other law degree),No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Affairs,No,-,2017
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,No,-,2016
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,-,2016
CLEMSON UNIVERSITY,Forestry,No,Appointed,2016
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2017
UNIVERSITY OF ARIZONA,Defense/Terrorism,Yes,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,"Area Studies -- ex. Strategic, Judicial",Yes,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Political Science,No,Appointed,2016
AMERICAN UNIVERSITY,Diplomacy,No,-,2017
TUFTS UNIVERSITY,International Disciplines,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Administration,No,-,2017
AMERICAN UNIVERSITY,Diplomacy,No,Appointed,2016
STANFORD UNIVERSITY,"Area Studies -- ex. Strategic, Judicial",No,Appointed,2016
SYRACUSE UNIVERSITY,Public Administration,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
UNIVERSITY OF DENVER,Human Rights,No,Appointed,2016
SAN JOSE STATE UNIVERSITY,Public Health,Yes,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,No,-,2017
JOHNS HOPKINS UNIVERSITY - CAREY BUSINES,Health Administration,No,-,2017
GEORGE WASHINGTON UNIVERSITY,International Disciplines,Yes,-,2017
SUNY AT ALBANY,Criminal Justice,No,Appointed,2016
"UNIVERSITY OF MARYLAND, BALTIMORE",Law (JD or other law degree),No,-,2017
HARVARD KENNEDY SCHOOL,Public Administration,No,-,2017
SYRACUSE UNIVERSITY,Public Administration,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,Yes,-,2016
INTERNATIONAL SPACE UNIVERSITY,Aeronautics/Astronautics,No,-,2016
GEORGE MASON UNIVERSITY,Economics,No,-,2017
UNIV OF MARYLAND UNIVERSITY COLLEGE,Cyber Security/Information Security,No,-,2017
HARVARD KENNEDY SCHOOL,Public Affairs,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,Economics,No,-,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,"Area Studies -- ex. Strategic, Judicial",Yes,-,2016
HOWARD UNIVERSITY,Law (JD or other law degree),Yes,-,2016
UNIVERSITY OF VIRGINIA - SFS,Business Management/Administration,No,-,2016
UNIVERSITY OF DELAWARE,Chemical Engineering,No,-,2016
WEBSTER UNIVERSITY,Acquisitions/Contracts/Grants,Yes,-,2016
HARVARD KENNEDY SCHOOL,Policy Analysis,No,Appointed,2016
COLORADO STATE UNIVERSITY,Ecology,No,-,2017
NORTHERN ARIZONA UNIVERSITY,Geospatial Analysis/Geographic Information Systems,No,-,2017
UNIV OF LONDON-LONDON SCHOOL ECON,International Disciplines,No,Appointed,2016
WEBSTER UNIVERSITY,Health Administration,Yes,Appointed,2016
UNIVERSITY OF TEXAS AT DALLAS,Accounting/Finance/Budget,Yes,-,2016
UNIVERSITY OF BALTIMORE,Law (JD or other law degree),No,-,2016
VIRGINIA COMMONWEALTH UNIVERSITY,Chemistry,No,-,2017
NORTHWESTERN UNIV,Biomedical Engineering,No,-,2016
UNIVERSITY OF OREGON,Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF PITTSBURGH,Law (JD or other law degree),No,-,2017
UNIVERSITY OF WASHINGTON,Environmental Policy/Studies,No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Administration,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Chemistry,No,-,2016
CLEMSON UNIVERSITY,Biology/Biological Sciences,No,-,2016
UNIV ARKANSAS FAYETTEVILLE,Environmental Sciences/Natural Resources,No,-,2017
UNIVERSITY OF REDLANDS,Accounting/Finance/Budget,Yes,Appointed,2016
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2017
TUFTS UNIVERSITY,International Disciplines,No,-,2016
CUNY-HUNTER COLLEGE,Community/Regional Planning/Development,No,-,2017
AMERICAN PUBLIC UNIVERSITY SYSTEM,Criminal Justice,Yes,-,2017
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,International Disciplines,No,-,2017
UNIVERSITY OF CALIFORNIA (UCLA),Policy Analysis,No,Appointed,2016
CORNELL UNIVERSITY,Philosophy,No,-,2017
UNIV OF LONDON-LONDON SCHOOL ECON,Economics,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Biology/Biological Sciences,No,-,2017
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Economics,No,-,2017
HARVARD UNIV GRAD SCH DESIGN,Architecture,No,-,2016
"United States Naval War College Newport, Rhode Island",Defense/Terrorism,Yes,-,2017
CUNY-BERNARD BARUCH COLLEGE,Business Management/Administration,Yes,Appointed,2016
GEORGE MASON UNIVERSITY,Conflict Analysis/Resolution,Yes,Appointed,2016
MISSOURI STATE UNIVERSITY,International Disciplines,No,-,2017
UNIVERSITY OF VIRGINIA - SFS,Policy Analysis,No,-,2017
NATIONAL UNIVERSITY,Criminal Justice,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,-,2017
GEORGE MASON UNIVERSITY,Policy Analysis,No,Appointed,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Environmental Sciences/Natural Resources,No,-,2017
AMERICAN UNIVERSITY,Law (JD or other law degree),No,-,2017
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Environmental Policy/Studies,Yes,-,2016
SETON HALL UNIVERSITY,Diplomacy,Yes,Appointed,2016
UNIVERSITY OF CALIFORNIA (UCLA),Education,No,Appointed,2016
UNIVERSITY OF TEXAS-AUSTIN,Geology/Geological Engineering,No,Appointed,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Epidemiology,No,Appointed,2016
HARVARD LAW SCHOOL,Law (JD or other law degree),No,-,2017
UNIVERSITY OF SOUTH CAROLINA,Philosophy,No,-,2017
UNIVERSITY OF CALIFORNIA-SAN DIEGO,International Disciplines,No,Appointed,2016
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
AMERICAN UNIVERSITY,Policy Analysis,No,Appointed,2016
UNIVERSITY OF NEW HAMPSHIRE,Law (JD or other law degree),No,-,2017
YALE UNIVERSITY,Astronomy/Space Science,No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Public Health,No,-,2017
HARVARD UNIV GRAD SCH ED,Education,No,-,2016
GEORGE WASHINGTON UNIVERSITY,Public Administration,No,-,2017
YALE UNIVERSITY,Law (JD or other law degree),Yes,Appointed,2016
NEW YORK UNIVERSITY,Public Administration,No,-,2016
UNIVERSITY OF WISCONSIN-MADISON,Law (JD or other law degree),No,Appointed,2016
REGENT UNIVERSITY,Business Management/Administration,No,Appointed,2016
SUNY AT ALBANY,Public Administration,No,Appointed,2016
GEORGE WASHINGTON UNIV LAW SCHL,Law (JD or other law degree),No,-,2017
HARVARD UNIV GRAD SCH ED,Education,No,-,2016
UNIV OF LONDON-LONDON SCHOOL ECON,International Disciplines,No,-,2016
GEORGETOWN UNIVERSITY,Government,No,-,2016
HARVARD UNIV GRAD S OF ARTS & SCIEN,Biology/Biological Sciences,No,-,2017
CUNY SCHOOL OF LAW @ QUEENS COLLEGE,Law (JD or other law degree),No,-,2016
BOSTON COLLEGE,Law (JD or other law degree),No,-,2016
UNIVERSITY OF PORTLAND,Education,No,-,2017
AMERICAN UNIVERSITY,Liberal Arts,No,-,2017
YALE UNIVERSITY,Anthropology,No,-,2016
UNIVERSITY OF ALASKA FAIRBANKS,Environmental Policy/Studies,No,-,2017
UNIVERSITY OF NC AT CHARLOTTE,Public Administration,No,-,2017
AMERICAN UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
UNIVERSITY OF CALIFORNIA-DAVIS,Political Science,No,-,2017
YALE UNIVERSITY,International Disciplines,No,-,2016
UNIVERSITY OF WASHINGTON,Medicine,No,-,2017
UNIVERSITY OF UTAH,Economics,No,-,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,"Area Studies -- ex. Strategic, Judicial",Yes,-,2017
AMERICAN UNIVERSITY,Individual/Group/Organizational Theory and Dynamics,No,Appointed,2016
UNIVERSITY OF SOUTHERN CALIFORNIA,Public Administration,No,-,2017
AMERICAN UNIVERSITY,International Disciplines,No,Appointed,2016
TROY UNIVERSITY,Health Administration,Yes,Appointed,2016
HARVARD KENNEDY SCHOOL,Policy Analysis,No,Appointed,2016
NEW YORK UNIVERSITY,International Disciplines,No,-,2016
UNIV OF ILLINOIS @ URBANA-CHAMPAIGN,Environmental Sciences/Natural Resources,No,-,2017
NORTHCENTRAL UNIVERSITY,Business Management/Administration,Yes,-,2016
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Government,Yes,-,2017
Peking University,Public Administration,No,-,2017
GEORGE MASON UNIVERSITY,Policy Analysis,No,Appointed,2016
TEXAS A&M UNIVERSITY,Public Administration,No,-,2016
EASTERN KENTUCKY UNIVERSITY,Public Administration,No,-,2017
TUFTS UNIVERSITY,International Disciplines,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,Appointed,2016
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Library Sciences,No,Appointed,2016
WASHINGTON UNIVERSITY,Anthropology,No,-,2017
GEORGETOWN UNIVERSITY,Political Science,Yes,Appointed,2016
UNIVERSITY OF CAMBRIDGE,International Disciplines,No,Appointed,2016
"CATHOLIC UNIV AMERICA, LAW SCHOOL",Law (JD or other law degree),No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,Defense/Terrorism,No,Appointed,2016
UNIV ARKANSAS FAYETTEVILLE,Economics,No,Appointed,2016
UMBC,Biology/Biological Sciences,No,-,2017
UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE,Public Health,Yes,-,2017
UNIVERSITY OF PITTSBURGH,Law (JD or other law degree),Yes,-,2017
GEORGETOWN UNIVERSITY,International Disciplines,No,Appointed,2016
UNIVERSITY OF PENNSYLVANIA,Social Work,No,-,2016
UNIVERSITY OF LOUISVILLE,Pharmacology,No,-,2016
NEW YORK UNIVERSITY,Public Administration,No,Appointed,2016
"UNIVERSITY OF MARYLAND, COLLEGE PARK",Policy Analysis,No,-,2017
WEBSTER UNIVERSITY,Business Management/Administration,Yes,-,2016
UNIVERSITY OF FLORIDA,Physics,Yes,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,Economics,No,-,2017
PRINCETON UNIVERSITY,Policy Analysis,No,-,2017
GEORGE MASON UNIVERSITY,Policy Analysis,No,Appointed,2016
GEORGETOWN UNIVERSITY,Biohazardous Threats/Emerging Diseases,No,Appointed,2016
INST D'ETUDES POLITIQUES DE PARIS,Defense/Terrorism,No,Appointed,2016
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
YALE UNIVERSITY,Environmental Policy/Studies,No,-,2016
INDIANA UNIVERSITY-BLOOMINGTON,International Disciplines,No,-,2017
UNIVERSITY OF CHICAGO GRADUATE,Policy Analysis,No,-,2016
UNIVERSITY OF CHICAGO GRADUATE,Education,No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Environmental Policy/Studies,No,-,2017
YALE UNIVERSITY,Public Health,No,-,2017
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Epidemiology,No,Appointed,2016
LEWIS & CLARK COLLEGE,Law (JD or other law degree),No,Appointed,2016
TROY UNIVERSITY,Communications,No,Appointed,2016
GEORGETOWN UNIVERSITY,Diplomacy,No,Appointed,2016
BOSTON UNIVERSITY,Business Management/Administration,Yes,-,2016
UNIVERSITY OF WISCONSIN-MADISON,Agricultural Science,No,-,2016
NORWICH UNIVERSITY,Diplomacy,Yes,-,2017
BANGOR UNIVERSITY,Forestry,No,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,International Disciplines,Yes,-,2017
PRINCETON UNIVERSITY,Biology/Biological Sciences,No,-,2016
UNIVERSITY OF PITTSBURGH,International Disciplines,No,Appointed,2016
GEORGETOWN UNIV LAW CENTER,Law (JD or other law degree),No,-,2016
WORCESTER POLYTECHNIC INSTITUTE,Materials/Structural Engineering,No,-,2016
UNIVERSITY OF CALIFORNIA (UCLA),Neurosciences,No,-,2017
PRINCETON UNIVERSITY,Public Affairs,Yes,-,2017
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,Conflict Analysis/Resolution,No,-,2017
OLD DOMINION UNIVERSITY,Biology/Biological Sciences,No,-,2016
UNIVERSITY OF MICHIGAN - ANN ARBOR,Economics,No,-,2017
GEORGE MASON UNIVERSITY,Law (JD or other law degree),No,Appointed,2016
NORTH CAROLINA STATE UNIV-RALEIGH,International Disciplines,No,-,2017
JOHNS HOPKINS BLOOMBERG SCH OF PH,Public Health,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2016
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,International Disciplines,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,Yes,Appointed,2016
UNIVERSITY OF FLORIDA,Physics,No,-,2016
HARVARD KENNEDY SCHOOL,Policy Analysis,No,Appointed,2016
UNIVERSITY OF WISCONSIN-MADISON,Law (JD or other law degree),No,Appointed,2016
GEORGETOWN UNIVERSITY - GRADUATE SCHOOL,Policy Analysis,No,-,2017
OHIO STATE UNIVERSITY-ALL CAMPUSES,Public Administration,No,-,2016
MISSISSIPPI STATE UNIVERSITY,Meteorology,No,-,2017
"UNIVERSITY OF MARYLAND, BALTIMORE",Law (JD or other law degree),No,-,2017
UNIVERSITY OF NOTRE DAME,Aerospace Engineering,No,-,2017
GEORGE MASON UNIVERSITY,Policy Analysis,No,-,2017
TUFTS UNIVERSITY,Veterinary Medicine,No,-,2016
UNIVERSITY OF PENNSYLVANIA,Biology/Biological Sciences,No,Appointed,2016
TUFTS UNIVERSITY,Diplomacy,No,Appointed,2016
UNIVERSITY OF TEXAS-AUSTIN,Environmental Engineering,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
UNIVERSITY OF MICHIGAN - ANN ARBOR,Policy Analysis,No,-,2017
NORTHEASTERN UNIVERSITY,Law (JD or other law degree),No,-,2017
UNIVERSITY OF GEORGIA,Religion,Yes,-,2016
"UNIVERSITY OF CALIFORNIA, BERKELEY","Area Studies -- ex. Strategic, Judicial",No,-,2017
UNIVERSITY OF PITTSBURGH,International Disciplines,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,Biology/Biological Sciences,No,Appointed,2016
UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES,Microbiology,Yes,Appointed,2016
NORTHEASTERN UNIVERSITY,Law (JD or other law degree),No,-,2017
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,-,2017
UNIVERSITY OF TEXAS-AUSTIN,Public Affairs,No,-,2016
GEORGE MASON UNIVERSITY,Business Management/Administration,Yes,-,2017
UNIVERSITY OF OXFORD,Diplomacy,Yes,Appointed,2016
GEORGE WASHINGTON UNIVERSITY,International Disciplines,No,-,2017
GEORGE WASHINGTON UNIVERSITY,Research Psychology,No,Appointed,2016
UNIVERSITY OF CALIFORNIA-DAVIS,Law (JD or other law degree),Yes,Appointed,2016
GEORGETOWN UNIVERSITY,Government,Yes,Appointed,2016
UNIVERSITY OF CALIFORNIA (UCLA),Biomedical Engineering,No,-,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Environmental Engineering,No,-,2017
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
CUNY-BERNARD BARUCH COLLEGE,Public Administration,Yes,Appointed,2016
UNIVERSITY OF IOWA,Law (JD or other law degree),No,-,2017
UNIVERSITY OF CAMBRIDGE - EMMANUEL,Political Science,No,-,2017
FRANKLIN UNIVERSITY,Communications,Yes,-,2017
GEORGETOWN UNIVERSITY,International Disciplines,No,Appointed,2016
UNIVERSITY OF DELAWARE,Ecology,No,Appointed,2016
UNIVERSITY OF SAN DIEGO,Real Estate,No,-,2017
GEORGE MASON UNIVERSITY,Policy Analysis,No,Appointed,2016
UNIV OF LONDON-LONDON SCHOOL ECON,Environmental Policy/Studies,No,Appointed,2016
ARKANSAS STATE UNIVERSITY,Public Administration,Yes,-,2017
TULANE UNIVERSITY,Neurosciences,No,Appointed,2016
YALE UNIVERSITY,Forestry,No,-,2017
GEORGETOWN UNIVERSITY,"Area Studies -- ex. Strategic, Judicial",No,-,2016
UNIVERSITY OF CALIFORNIA-DAVIS,Ecology,No,-,2017
GEORGE MASON UNIVERSITY,International Disciplines,No,Appointed,2016
PRINCETON UNIVERSITY,Public Affairs,No,-,2017
GEORGE MASON UNIVERSITY,International Disciplines,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,Economics,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2017
PEPPERDINE UNIVERSITY,Law (JD or other law degree),No,-,2017
FORDHAM UNIVERSITY,Philosophy,No,-,2017
ARIZONA STATE UNIV (ALL CAMPUSES),Business Management/Administration,Yes,-,2017
UNIVERSITY OF WASHINGTON,International Disciplines,No,-,2017
UNIVERSITY OF N C-CHAPEL HILL,Public Health,No,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,Economics,No,-,2017
UNIVERSITY OF WASHINGTON,Geology/Geological Engineering,Yes,-,2017
UNIV OF MARYLAND UNIVERSITY COLLEGE,Business Management/Administration,No,-,2016
UNIVERSITY OF WASHINGTON,Public Administration,Yes,Appointed,2016
UNIVERSITY OF CAMBRIDGE,Biology/Biological Sciences,No,-,2016
AMERICAN UNIVERSITY,Mathematics,No,Appointed,2016
TUSKEGEE UNIVERSITY,Biology/Biological Sciences,No,-,2016
ROSALIND FRANKLIN UNIVERSITY OF MEDICINE,Biology/Biological Sciences,No,-,2016
COLUMBIA UNIVERSITY IN THE CITY OF NEW Y,Human Rights,No,-,2017
UNIV OF MARYLAND UNIVERSITY COLLEGE,Health Administration,Yes,-,2016
EMORY UNIVERSITY,Law (JD or other law degree),No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,International Disciplines,No,-,2016
"Naval Postgraduate School (Monterey, CA)",Defense/Terrorism,No,-,2017
SOUTHWESTERN LAW SCHOOL,Law (JD or other law degree),No,-,2017
GEORGE WASHINGTON UNIVERSITY,Biostatistics,No,Appointed,2016
"RUTGERS, THE STATE UNIVERSITY OF NJ",Community/Regional Planning/Development,No,-,2016
AMERICAN PUBLIC UNIVERSITY SYSTEM,"Area Studies -- ex. Strategic, Judicial",Yes,-,2017
UNIVERSITY OF MICHIGAN - ANN ARBOR,Environmental Engineering,No,-,2016
UNIVERSITY OF CAMBRIDGE - MURRAY EDWARDS,Education,No,-,2017
UNIVERSITY OF SOUTH CAROLINA,Social Work,Yes,Appointed,2016
HARVARD UNIV GRAD SCH ED,Education,No,-,2017
CALIF STATE UNIV-NORTHRIDGE,Other Subject Areas (as specified in resume),No,-,2017
WASHINGTON UNIVERSITY,Law (JD or other law degree),No,-,2016
TEXAS STATE UNIVERSITY--SAN MARCOS,Hydrology,No,-,2017
COLUMBIA UNIV TEACHERS COLLEGE,Individual/Group/Organizational Theory and Dynamics,No,Appointed,2016
UNIV OF MARYLAND UNIVERSITY COLLEGE,Cyber Security/Information Security,No,-,2016
GEORGE WASHINGTON UNIVERSITY,Public Administration,No,-,2017
MIDDLEBURY COLLEGE - MONTEREY INSTITUTE,Defense/Terrorism,Yes,-,2016
GEORGETOWN UNIVERSITY,Public Administration,No,-,2017
JOHNS HOPKINS UNIV SCH ADV INTL STU,Defense/Terrorism,Yes,Appointed,2016
JOHNS HOPKINS UNIV SCH ADV INTL STU,Economics,No,-,2017
